order_id,carrier,shipping_cost,shipped_ts,delivered_ts,delivery_status
O000001,,39.57,02/12/2025 07:22,2025-12-07 00:08:00,returned
O000003,CORREIOS ,"0,00",2025-12-02 15:34:00,2025-12-03 06:41:00,
O000004,Total Express,34.36,2025-12-02 19:32:00,2025-12-06 22:50:00,
O000005,,49.82,2025-12-01 04:26:00,N/A,
O000006,,56.35,2025-12-02 10:05:00,07/12/2025 04:39,
O000007,CORREIOS ,54.04,2025-12-01 02:02:00,,in_transit
O000008,,70.16,2025-12-01 20:46:00,,in_transit
O000009,Correios  ,38.95,2025-12-02 12:04:00,,returned
O000010,CORREIOS ,26.67,02/12/2025 02:25,05/12/2025 10:19,label_created
O000011,,39.72,,06/12/2025 12:26,label_created
O000013,CORREIOS ,14.02,01/12/2025 10:00,,returned
O000014,Total Express,34.66,2025-12-02 02:17:00,07/12/2025 03:17,label_created
O000015,Jadlog,4.96,2025-12-02 02:46:00,,delivered
O000017,,10.12,01/12/2025 08:49,2025-12-07 19:29:00,
O000018,,4.66,,04/12/2025 23:54,
O000019,Total Express,56.54,2025-12-01 02:29:00,2025-12-03 19:35:00,label_created
O000023,,36.34,01/12/2025 11:48,2025-12-03 11:37:00,delivered
O000024,Correios,60.77,2025-12-02 16:12:00,2025-12-03 08:27:00,
O000025,,31.97,2025-12-02 22:28:00,,label_created
O000027,CORREIOS ,48.06,2025-12-02 00:50:00,08/12/2025 05:17,
O000029,CORREIOS ,-5,2025-12-01 06:42:00,2025-12-01 21:00:00,lost
O000030,Jadlog,64.07,02/12/2025 04:15,2025-12-08 01:42:00,label_created
O000031,Total Express,45.11,01/12/2025 20:20,N/A,lost
O000032,Loggi,15.79,2025-12-01 19:07:00,,
O000033,,1.6,2025-12-02 11:39:00,2025-12-03 22:36:00,in_transit
O000034,,17.72,02/12/2025 16:41,,delivered
O000035,CORREIOS ,18.96,2025-12-01 22:42:00,2025-12-07 17:06:00,lost
O000036,,34.49,,,lost
O000037,Jadlog,19.46,2025-12-01 02:38:00,2025-12-01 09:49:00,delivered
O000038,Correios, 12.5 ,01/12/2025 03:45,2025-12-03 23:45:00,in_transit
O000039,Total Express,34.2,02/12/2025 01:35,07/12/2025 00:23,lost
O000040,CORREIOS ,40.86,01/12/2025 11:12,2025-12-08 07:31:00,
