product_id,category,brand,created_ts
P00001,Eletrônicos,Acme,18/03/2024 00:00
P00002,Eletrônicos,Acme,2022-09-28 00:00:00
P00003,Eletrônicos,,2024-09-08 00:00:00
P00004,Eletrônicos,Nova,2025-05-17 00:00:00
P00005,Esporte,Acme,10/06/2024 00:00
P00006,Eletrônicos,Acme,25/09/2022 00:00
P00007,Casa,,30/07/2024 00:00
P00008,,Acme,2025-03-09 00:00:00
P00009,Eletrônicos,,2025-05-17 00:00:00
P00010,,,2024-02-24 00:00:00
P00011,Casa,Acme,2023-10-26 00:00:00
P00012,Eletrônicos,Acme,2024-08-10 00:00:00
P00013,Esporte,ACME ,2023-12-12 00:00:00
P00014,Esporte,Umbra,2023-10-01 00:00:00
P00015,,Umbra,13/11/2024 00:00
P00016,Pet,,2024-05-04 00:00:00
P00017,,ACME ,2024-01-02 00:00:00
P00018,Casa,ACME ,29/07/2024 00:00
P00019,Eletrônicos,,08/10/2024 00:00
P00020,Pet,Umbra,2023-02-02 00:00:00
P00021,,Acme,04/06/2025 00:00
P00022,eletronicos,,01/11/2022 00:00
P00023,Moda,Nova,2025-02-21 00:00:00
P00024,Moda,Zetta,2024-04-27 00:00:00
P00025,Pet,ACME ,
P00026,Casa,Acme,2025-05-06 00:00:00
P00027,eletronicos,Zetta,2025-03-05 00:00:00
P00028,,Acme,2022-09-02 00:00:00
P00029,Moda,Zetta,13/01/2025 00:00
P00030,Pet,Acme,08/03/2025 00:00
P00031,Pet,Acme,27/08/2023 00:00
P00032,Eletrônicos,Acme,28/11/2024 00:00
P00033,,Nova,2023-01-04 00:00:00
P00034,Beleza,,
P00035,,Nova,2023-08-06 00:00:00
P00036,Casa,ACME ,07/05/2023 00:00
P00037,,Umbra,03/12/2023 00:00
P00038,Moda,Umbra,23/05/2023 00:00
P00039,Eletrônicos,,23/06/2022 00:00
P00040,,Umbra,04/11/2023 00:00
P00041,Eletrônicos,ACME ,10/08/2024 00:00
P00042,Casa,Acme,2024-07-01 00:00:00
P00043,eletronicos,ACME ,2023-08-16 00:00:00
P00044,eletronicos,Acme,2024-07-08 00:00:00
P00045,Beleza,,2025-03-12 00:00:00
P00046,Esporte,Zetta,2023-10-29 00:00:00
P00047,Moda,ACME ,2025-04-05 00:00:00
P00048,Casa,Acme,2024-07-31 00:00:00
P00049,Casa,Nova,02/05/2023 00:00
P00050,Esporte,ACME ,2023-02-13 00:00:00
P00051,Pet,Zetta,2023-10-10 00:00:00
P00052,,Nova,2024-11-12 00:00:00
P00053,,,2022-11-07 00:00:00
P00054,Eletrônicos,Zetta,2024-09-29 00:00:00
P00055,Moda,Nova,20/04/2024 00:00
P00056,Eletrônicos,Nova,15/06/2023 00:00
P00057,Beleza,ACME ,2025-01-12 00:00:00
P00058,Moda,Acme,21/04/2024 00:00
P00059,,Umbra,2025-05-02 00:00:00
P00060,Casa,ACME ,2023-03-12 00:00:00
P00037,,Umbra,03/12/2023 00:00
P00001,Eletrônicos,Acme,18/03/2024 00:00
P00048,Casa,Acme,2024-07-31 00:00:00
