order_id,customer_id,order_ts,status,payment_method,total_amount,currency,sales_channel,_source_file,_ingest_date,_load_ts
O000030,C00072,2025-12-02 12:29:00,created,credit_card,273.68,BRL,app,orders.csv,2025-12-02,2026-03-29T16:56:48
O000050,C00046,2025-12-02 22:59:00,shipped,credit_card,37.68,BRL,,orders.csv,2025-12-02,2026-03-29T16:56:48
O000089,C00073,02/12/2025 11:24,DELIVERED ,credit_card,318.03,BRL,marketplace,orders.csv,2025-12-02,2026-03-29T16:56:48
O000020,C00105,02/12/2025 05:08,created,credit_card,293.94,BRL,,orders.csv,2025-12-02,2026-03-29T16:56:48
O000091,C00043,2025-12-02 11:34:00,created,pix,931.73,BRL,,orders.csv,2025-12-02,2026-03-29T16:56:48
O000028,C00006,02/12/2025 04:47,shipped,credit_card,237.69,BRL,web,orders.csv,2025-12-02,2026-03-29T16:56:48
O000009,C00113,02/12/2025 05:06,DELIVERED ,pix,208.17,BRL,app,orders.csv,2025-12-02,2026-03-29T16:56:48
O000054,C00032,02/12/2025 15:13,paid,boleto,270.76,BRL,,orders.csv,2025-12-02,2026-03-29T16:56:48
O000053,C00068,2025-12-02 11:01:00,shipped,credit_card,280.99,BRL,WEB ,orders.csv,2025-12-02,2026-03-29T16:56:48
O000043,C00069,2025-12-02 09:08:00,created,pix,196.52,BRL,WEB ,orders.csv,2025-12-02,2026-03-29T16:56:48
O000070,C00116,2025-12-02 22:55:00,created,credit_card,121.54,BRL,app,orders.csv,2025-12-02,2026-03-29T16:56:48
O000060,C00042,2025-12-02 05:11:00,,,228.65,BRL,,orders.csv,2025-12-02,2026-03-29T16:56:48
O000103,C00079,02/12/2025 14:32,,pix,222.51,BRL,WEB ,orders.csv,2025-12-02,2026-03-29T16:56:48
O000008,C00099,02/12/2025 18:02,created,boleto,219.92,BRL,app,orders.csv,2025-12-02,2026-03-29T16:56:48
O000027,C00093,02/12/2025 15:23,,pix,386.6,BRL,WEB ,orders.csv,2025-12-02,2026-03-29T16:56:48
O000098,C00052,02/12/2025 12:34,delivered,credit_card,225.7,BRL,,orders.csv,2025-12-02,2026-03-29T16:56:48
O000109,C00017,2025-12-02 00:34:00,cancelled,pix,0,BRL,marketplace,orders.csv,2025-12-02,2026-03-29T16:56:48
O000075,C00076,,shipped,,138.19,BRL,marketplace,orders.csv,2025-12-02,2026-03-29T16:56:48
O000090,C00044,2025-12-02 01:32:00,shipped,pix,194.72,BRL,WEB ,orders.csv,2025-12-02,2026-03-29T16:56:48
O000003,C00110,2025-12-02 20:30:00,shipped,boleto,233.42,BRL,web,orders.csv,2025-12-02,2026-03-29T16:56:48
O000074,C00113,02/12/2025 05:52,delivered,debit_card,322.55,BRL,,orders.csv,2025-12-02,2026-03-29T16:56:48
