product_id,category,brand,created_ts
P00002,Eletrônicos,Acme,2022-09-28
P00003,Eletrônicos,,2024-09-08
P00004,Eletrônicos,Nova,2025-05-17
P00005,Esporte,Acme,2024-06-10
P00006,Eletrônicos,Acme,2022-09-25
P00007,Casa,,2024-07-30
P00008,,Acme,2025-03-09
P00009,Eletrônicos,,2025-05-17
P00010,,,2024-02-24
P00011,Casa,Acme,2023-10-26
P00012,Eletrônicos,Acme,2024-08-10
P00013,Esporte,Acme,2023-12-12
P00014,Esporte,Umbra,2023-10-01
P00015,,Umbra,2024-11-13
P00016,Pet,,2024-05-04
P00017,,Acme,2024-01-02
P00018,Casa,Acme,2024-07-29
P00019,Eletrônicos,,2024-10-08
P00020,Pet,Umbra,2023-02-02
P00021,,Acme,2025-06-04
P00022,Eletronicos,,2022-11-01
P00023,Moda,Nova,2025-02-21
P00024,Moda,Zetta,2024-04-27
P00025,Pet,Acme,
P00026,Casa,Acme,2025-05-06
P00027,Eletronicos,Zetta,2025-03-05
P00028,,Acme,2022-09-02
P00029,Moda,Zetta,2025-01-13
P00030,Pet,Acme,2025-03-08
P00031,Pet,Acme,2023-08-27
P00032,Eletrônicos,Acme,2024-11-28
P00033,,Nova,2023-01-04
P00034,Beleza,,
P00035,,Nova,2023-08-06
P00036,Casa,Acme,2023-05-07
P00038,Moda,Umbra,2023-05-23
P00039,Eletrônicos,,2022-06-23
P00040,,Umbra,2023-11-04
P00041,Eletrônicos,Acme,2024-08-10
P00042,Casa,Acme,2024-07-01
P00043,Eletronicos,Acme,2023-08-16
P00044,Eletronicos,Acme,2024-07-08
P00045,Beleza,,2025-03-12
P00046,Esporte,Zetta,2023-10-29
P00047,Moda,Acme,2025-04-05
P00049,Casa,Nova,2023-05-02
P00050,Esporte,Acme,2023-02-13
P00051,Pet,Zetta,2023-10-10
P00052,,Nova,2024-11-12
P00053,,,2022-11-07
P00054,Eletrônicos,Zetta,2024-09-29
P00055,Moda,Nova,2024-04-20
P00056,Eletrônicos,Nova,2023-06-15
P00057,Beleza,Acme,2025-01-12
P00058,Moda,Acme,2024-04-21
P00059,,Umbra,2025-05-02
P00060,Casa,Acme,2023-03-12
P00037,,Umbra,2023-12-03
P00001,Eletrônicos,Acme,2024-03-18
P00048,Casa,Acme,2024-07-31
